,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
n40k_CLASS_5_,,,,,,,,,,,,,,
n40k_CLASS_5_1,,,,,,,,,,,,,,
n40k_CLASS_5_1_,,,,,,,,,,,,,,
n40k_CLASS_5_2,,,,,,,,,,,,,,
n40k_CLASS_5_2_,,,,,,,,,,,,,,
n40k_CLASS_5_3,,,,,,,,,,,,,,
n40k_CLASS_5_3_,,,,,,,,,,,,,,
n40k_CLASS_5_4,,,,,,,,,,,,,,
n40k_CLASS_5_4_,,,,,,,,,,,,,,

n40k_CLASS_6,Inquisition,,,,,,,,,,,,,
n40k_CLASS_6_,,,,,,,,,,,,,,
n40k_CLASS_6_1,Ordo Hereticus,,,,,,,,,,,,,
n40k_CLASS_6_1_,,,,,,,,,,,,,,
n40k_CLASS_6_1_1,Adepta Sororitas,,,,,,,,,,,,,
n40k_CLASS_6_1_1_,"Amongst the highly devoted warriors of the Orders Militant there are those whose faith burns so brightly that it appears as if the Emperor Himself guides their actions. These angelic warriors are known as Seraphim, and are exclusively trained to use jumppacks and to master the co-ordination, dexterity and control required to wield two firearms at once. They strike like avenging angels, descending into the thickest of fighting upon wings of fire, their Bolt Pistols spitting death at their foes in a devastating dance of fury and faith.",,,,,,,,,,,,,
n40k_CLASS_6_2,Ordo Xenos,,,,,,,,,,,,,
n40k_CLASS_6_2_,,,,,,,,,,,,,,
n40k_CLASS_6_3,Ordo Malleus,,,,,,,,,,,,,
n40k_CLASS_6_3_,,,,,,,,,,,,,,
n40k_CLASS_6_4,Ordos Minoris,,,,,,,,,,,,,
n40k_CLASS_6_4_,,,,,,,,,,,,,,

n40k_CLASS_7,Adeptus Terra,,,,,,,,,,,,,
n40k_CLASS_7_,,,,,,,,,,,,,,
n40k_CLASS_7_1,,,,,,,,,,,,,,
n40k_CLASS_7_1_,,,,,,,,,,,,,,
n40k_CLASS_7_2,,,,,,,,,,,,,,
n40k_CLASS_7_2_,,,,,,,,,,,,,,
n40k_CLASS_7_3,,,,,,,,,,,,,,
n40k_CLASS_7_3_,,,,,,,,,,,,,,
n40k_CLASS_7_4,,,,,,,,,,,,,,
n40k_CLASS_7_4_,,,,,,,,,,,,,,

n40k_CLASS_8,Adeptus Ministorum,,,,,,,,,,,,,
n40k_CLASS_8_,,,,,,,,,,,,,,
n40k_CLASS_8_1,,,,,,,,,,,,,,
n40k_CLASS_8_1_,,,,,,,,,,,,,,
n40k_CLASS_8_2,,,,,,,,,,,,,,
n40k_CLASS_8_2_,,,,,,,,,,,,,,
n40k_CLASS_8_3,,,,,,,,,,,,,,
n40k_CLASS_8_3_,,,,,,,,,,,,,,
n40k_CLASS_8_4,,,,,,,,,,,,,,
n40k_CLASS_8_4_,,,,,,,,,,,,,,

n40k_CLASS_9,Leagues of Votann,,,,,,,,,,,,,
n40k_CLASS_9_,,,,,,,,,,,,,,
n40k_CLASS_9_1,,,,,,,,,,,,,,
n40k_CLASS_9_1_,,,,,,,,,,,,,,
n40k_CLASS_9_2,,,,,,,,,,,,,,
n40k_CLASS_9_2_,,,,,,,,,,,,,,
n40k_CLASS_9_3,,,,,,,,,,,,,,
n40k_CLASS_9_3_,,,,,,,,,,,,,,
n40k_CLASS_9_4,,,,,,,,,,,,,,
n40k_CLASS_9_4_,,,,,,,,,,,,,,

n40k_CLASS_10,Talons of the Emperor,,,,,,,,,,,,,
n40k_CLASS_10_,,,,,,,,,,,,,,
n40k_CLASS_10_1,,,,,,,,,,,,,,
n40k_CLASS_10_1_,,,,,,,,,,,,,,
n40k_CLASS_10_2,,,,,,,,,,,,,,
n40k_CLASS_10_2_,,,,,,,,,,,,,,
n40k_CLASS_10_3,,,,,,,,,,,,,,
n40k_CLASS_10_3_,,,,,,,,,,,,,,
n40k_CLASS_10_4,,,,,,,,,,,,,,
n40k_CLASS_10_4_,,,,,,,,,,,,,,

n40k_CLASS_11,Faith Daemons,,,,,,,,,,,,,
n40k_CLASS_11_,,,,,,,,,,,,,,
n40k_CLASS_11_1,,,,,,,,,,,,,,
n40k_CLASS_11_1_,,,,,,,,,,,,,,
n40k_CLASS_11_2,,,,,,,,,,,,,,
n40k_CLASS_11_2_,,,,,,,,,,,,,,
n40k_CLASS_11_3,,,,,,,,,,,,,,
n40k_CLASS_11_3_,,,,,,,,,,,,,,
n40k_CLASS_11_4,,,,,,,,,,,,,,
n40k_CLASS_11_4_,,,,,,,,,,,,,,

n40k_CLASS_12,Alpha Legionnaire,,,,,,,,,,,,,
n40k_CLASS_12_,,,,,,,,,,,,,,
n40k_CLASS_12_1,,,,,,,,,,,,,,
n40k_CLASS_12_1_,,,,,,,,,,,,,,
n40k_CLASS_12_2,,,,,,,,,,,,,,
n40k_CLASS_12_2_,,,,,,,,,,,,,,
n40k_CLASS_12_3,,,,,,,,,,,,,,
n40k_CLASS_12_3_,,,,,,,,,,,,,,
n40k_CLASS_12_4,,,,,,,,,,,,,,
n40k_CLASS_12_4_,,,,,,,,,,,,,,

n40k_CLASS_13,The Five,,,,,,,,,,,,,
n40k_CLASS_13_,,,,,,,,,,,,,,
n40k_CLASS_13_1,,,,,,,,,,,,,,
n40k_CLASS_13_1_,,,,,,,,,,,,,,
n40k_CLASS_13_2,,,,,,,,,,,,,,
n40k_CLASS_13_2_,,,,,,,,,,,,,,
n40k_CLASS_13_3,,,,,,,,,,,,,,
n40k_CLASS_13_3_,,,,,,,,,,,,,,
n40k_CLASS_13_4,,,,,,,,,,,,,,
n40k_CLASS_13_4_,,,,,,,,,,,,,,

n40k_CLASS_14,Fabulas Ultra,,,,,,,,,,,,,
n40k_CLASS_14_,,,,,,,,,,,,,,
n40k_CLASS_14_1,,,,,,,,,,,,,,
n40k_CLASS_14_1_,,,,,,,,,,,,,,
n40k_CLASS_14_2,,,,,,,,,,,,,,
n40k_CLASS_14_2_,,,,,,,,,,,,,,
n40k_CLASS_14_3,,,,,,,,,,,,,,
n40k_CLASS_14_3_,,,,,,,,,,,,,,
n40k_CLASS_14_4,,,,,,,,,,,,,,
n40k_CLASS_14_4_,,,,,,,,,,,,,,

n40k_CLASS_15,CUSTOM,,,,,,,,,,,,,
n40k_CLASS_15_,"default spot for extensions",,,,,,,,,,,,,



n40k_CODEX_briefing,"{""General"",""Codex will teach you some of the background lore and mechanics of this mod."",""Check Main/Pause Menu -> Options -> Mod Settings -> Noita40K for further info. You can also find a complete breakdown of the majority of mod features at mods/[mod_id]/libro_manualis."",},{""Controls"",""Double tap [USE] to reload the gun in hand."",""Some of the equipment has special functionality that may be activated either via the [RMB] or [USE] + [DOWN] combo. Check corresponding info pages for more detailed description."",},{""Kinda_Important_Stuff"",""The buttons right below will switch the panels. Everything that looks like a button is most likely a button - don't hesitate to click it."",},{""Vanilla_Tips"",""You are expected to already know the basics of the vanilla, so be sure to complete the game at least once before proceeding."",""You can read descriptions of any items by mousing over their icons with opened inventory."",""You can drink from any liquid containing item via the [RMB] on its inventory icon."",},{""Extra"",""This mod supports extensions. Check ""Extensions"" thread at Steam mod page for examples and/or already published works.""}",,,,,,,,,,,,,

n40k_CODEX_credits_author_code,Logic by,,,,,,,,,,,,,
n40k_CODEX_credits_author_sprites,Graphics by,,,,,,,,,,,,,
n40k_CODEX_credits_author_extra,Additional Contributions by,,,,,,,,,,,,,
n40k_CODEX_credits_patreon,Enabled by,,,,,,,,,,,,,
n40k_CODEX_credits_extra,Special Thanks to,,,,,,,,,,,,,



n40k_EXTRA_quotes,"{""Fear not death, for the soul of the faithful man never dies."",""Duty prevails."",""Victory needs no explanation, defeat allows none."",""To admit defeat is to blaspheme against the Emperor."",""Let faith protect your mind and metal your flesh.""}",,,,,,,,,,,,,



n40k_MATTER_darkfire,Darkfire,,,,,,,,,,,,,
n40k_MATTER_warpflame,Warpflame,,,,,,,,,,,,,
n40k_MATTER_warpmatter,Warpmatter,,,,,,,,,,,,,
n40k_MATTER_warpclot,Clot,,,,,,,,,,,,,
n40k_MATTER_unstable_warpclot,Weeping Clot,,,,,,,,,,,,,

n40k_MATTER_exterminatus_gas,Exterminatus Vector,,,,,,,,,,,,,
n40k_MATTER_exterminatus_juice,Exterminatus Hound,,,,,,,,,,,,,
n40k_MATTER_exterminatus_solid,Exterminatus Spore,,,,,,,,,,,,,
n40k_MATTER_exterminatus_hunter,Exterminatus Stalker,,,,,,,,,,,,,
n40k_MATTER_exterminatus_reaper,Exterminatus Reaper,,,,,,,,,,,,,
n40k_MATTER_ruptor_gas,Ruptor Vector,,,,,,,,,,,,,
n40k_MATTER_ruptor_juice,Ruptor Spores,,,,,,,,,,,,,

n40k_MATTER_promethium_fire,Promethium Fire,,,,,,,,,,,,,
n40k_MATTER_plasma_unstable,Supercritical Plasma,,,,,,,,,,,,,
n40k_MATTER_plasma_he,High-Energy Plasma,,,,,,,,,,,,,
n40k_MATTER_plasma_dense,Low-Energy Plasma,,,,,,,,,,,,,

n40k_MATTER_heavy_smoke,Heavy Smoke,,,,,,,,,,,,,

n40k_MATTER_promethium,Promethium,,,,,,,,,,,,,
n40k_MATTER_amasec,Amasec,,,,,,,,,,,,,
n40k_MATTER_mjod,Mjød,,,,,,,,,,,,,
n40k_MATTER_plasteel_molten,Molten Plasteel,,,,,,,,,,,,,
n40k_MATTER_plasteel_box2d_molten,Molten Plasteel,,,,,,,,,,,,,
n40k_MATTER_plasteel_thin_molten,Molten Plasteel,,,,,,,,,,,,,
n40k_MATTER_plasteel_thin_dark_molten,Molten Plasteel,,,,,,,,,,,,,
n40k_MATTER_plasteel_thin_box2d_molten,Molten Plasteel,,,,,,,,,,,,,

n40k_MATTER_brass_box2d,Gunmetal,,,,,,,,,,,,,
n40k_MATTER_plasteel_box2d,Plasteel,,,,,,,,,,,,,
n40k_MATTER_plasteel_thin_box2d,Plasteel,,,,,,,,,,,,,

n40k_MATTER_plasteel_thin,Plasteel,,,,,,,,,,,,,
n40k_MATTER_plasteel_thin_dark,Plasteel,,,,,,,,,,,,,
n40k_MATTER_deflagrating_matter,Deflagrating Matter,,,,,,,,,,,,,
n40k_MATTER_osculant_matter,Osculant Matter,,,,,,,,,,,,,
n40k_MATTER_spook,Spook,,,,,,,,,,,,,
n40k_MATTER_unrefined_auramite,Unrefined Auramite,,,,,,,,,,,,,
n40k_MATTER_plasteel,Plasteel,,,,,,,,,,,,,



n40k_EFFECT_promethium_fire,Promethium Fire,,,,,,,,,,,,,
n40k_EFFECT_promethium_fire_,You are soaked in burning promethium.,,,,,,,,,,,,,
n40k_EFFECT_ionizing_sublimation,Ionizing Sublimation,,,,,,,,,,,,,
n40k_EFFECT_ionizing_sublimation_,You are being evaporated.,,,,,,,,,,,,,
n40k_EFFECT_life_eater,Life-Eater Virus,,,,,,,,,,,,,
n40k_EFFECT_life_eater_,If you see this it is already too late...,,,,,,,,,,,,,
n40k_EFFECT_ruptorinferno,Ruptor Inferno,,,,,,,,,,,,,
n40k_EFFECT_ruptorinferno_,You are being maintained.,,,,,,,,,,,,,
n40k_EFFECT_bioinferno,Bio Inferno,,,,,,,,,,,,,
n40k_EFFECT_bioinferno_,There's something inside of you. And it's burning...,,,,,,,,,,,,,

n40k_EFFECT_deflagration,Deflagration,,,,,,,,,,,,,
n40k_EFFECT_deflagration_,You are being seared by a horrifying heat.,,,,,,,,,,,,,
n40k_EFFECT_sensory_overload,Sensory Overload,,,,,,,,,,,,,
n40k_EFFECT_sensory_overload_,Your senses are overloaded.,,,,,,,,,,,,,
n40k_EFFECT_system_overload,System Overload,,,,,,,,,,,,,
n40k_EFFECT_system_overload_,"Power Surge Failsafe Engaged; Rebooting...",,,,,,,,,,,,,
n40k_EFFECT_temporal_misalignment,Temporal Misalignment,,,,,,,,,,,,,
n40k_EFFECT_temporal_misalignment_,Your being is fractured across a myriad of timelines.,,,,,,,,,,,,,
n40k_EFFECT_stasis_coma,Stasis Coma,,,,,,,,,,,,,
n40k_EFFECT_stasis_coma_,H-hard...to...think...,,,,,,,,,,,,,
n40k_EFFECT_psytrip,Psytrip,,,,,,,,,,,,,
n40k_EFFECT_psytrip_,A moment of laxity spawns a lifetime of heresy.,,,,,,,,,,,,,
n40k_EFFECT_warpfire,Warpfire,,,,,,,,,,,,,
n40k_EFFECT_warpfire_,You are being consumed by otherworldly deamons!,,,,,,,,,,,,,

n40k_EFFECT_immovable_fortitude,Immovable Fortitude,,,,,,,,,,,,,
n40k_EFFECT_immovable_fortitude_,There is only the Emperor, and he is our Shield and Protector.,,,,,,,,,,,,,
n40k_EFFECT_untamed,The Untamed,,,,,,,,,,,,,
n40k_EFFECT_untamed_,The Great Wolf has been unleashed.,,,,,,,,,,,,,
n40k_EFFECT_unrestrained,A Spirit Unrestrained,,,,,,,,,,,,,
n40k_EFFECT_unrestrained_,Allconsuming ferocity overwhelms your body. They shall fear.,,,,,,,,,,,,,
n40k_EFFECT_black_rage,Black Rage,,,,,,,,,,,,,
n40k_EFFECT_black_rage_,For the Emperor and Sanguinius! Death! DEATH!,,,,,,,,,,,,,
